id,srcLatitude,srcLongitude,destLatitude,destLongitude,airline,srcAirport,destAirport
153,48.11,16.57,35.76,140.39,Austrian Airlines,VIE,NRT
154,25.08,121.23,50.03,8.54,China Airlines,TPE,FRA
155,18.57,-68.36,55.41,37.91,Transaero Airlines,PUJ,DME
156,55.97,37.41,18.57,-68.36,Transaero Airlines,SVO,PUJ
157,33.94,-118.41,49.01,2.55,Air Tahiti Nui,LAX,CDG
158,22.31,113.91,52.31,4.76,KLM Royal Dutch Airlines,HKG,AMS
159,33.94,-118.41,-23.43,-46.47,US Airways,LAX,GRU
160,33.94,-118.41,52.31,4.76,KLM Royal Dutch Airlines,LAX,AMS
161,-34.84,-56.03,40.49,-3.57,Air Europa,MVD,MAD
162,40.49,-3.57,33.94,-118.41,Iberia Airlines,MAD,LAX
163,40.08,116.58,40.49,-3.57,TAM Brazilian Airlines,PEK,MAD
164,51.48,-0.46,37.47,126.45,Asiana Airlines,LHR,ICN
165,37.62,-122.37,49.01,2.55,United Airlines,SFO,CDG
166,48.35,11.79,-23.43,-46.47,Lufthansa,MUC,GRU
167,36.08,-115.15,50.03,8.54,Condor Flugdienst,LAS,FRA
168,35.76,140.39,55.62,12.66,Scandinavian Airlines System,NRT,CPH
169,52.31,4.76,-0.14,-78.49,KLM Royal Dutch Airlines,AMS,UIO
170,43.68,-79.63,32.01,34.89,El Al Israel Airlines,YYZ,TLV
171,37.62,-122.37,52.31,4.76,KLM Royal Dutch Airlines,SFO,AMS
172,-20.43,57.68,51.48,-0.46,Air Mauritius,MRU,LHR
173,49.01,2.55,13.68,100.75,Thai Airways International,CDG,BKK
174,37.47,126.45,49.01,2.55,Asiana Airlines,ICN,CDG
175,-23.43,-46.47,50.03,8.54,Lufthansa,GRU,FRA
176,51.15,-0.19,-20.43,57.68,Thomsonfly,LGW,MRU
177,-23.43,-46.47,52.31,4.76,KLM Royal Dutch Airlines,GRU,AMS
178,23.39,113.3,52.31,4.76,KLM Royal Dutch Airlines,CAN,AMS
179,19.44,-99.07,52.31,4.76,KLM Royal Dutch Airlines,MEX,AMS
180,45.63,8.73,22.31,113.91,Cathay Pacific,MXP,HKG
181,47.78,10.63,-15.65,-56.12,Azul,OAL,CGB
182,47.46,8.55,22.31,113.91,Swiss International Air Lines,ZRH,HKG
183,1.35,103.99,60.32,24.96,Finnair,SIN,HEL
184,31.14,121.81,52.31,4.76,China Eastern Airlines,PVG,AMS
185,43.68,-79.63,30.12,31.41,Egyptair,YYZ,CAI
186,31.14,121.81,45.63,8.73,Air China,PVG,MXP
187,30.23,120.43,52.31,4.76,KLM Royal Dutch Airlines,HGH,AMS
188,32.01,34.89,39.87,-75.24,US Airways,TLV,PHL
189,50.9,4.48,13.68,100.75,Thai Airways International,BRU,BKK
190,22.31,113.91,50.03,8.54,Lufthansa,HKG,FRA
191,13.68,100.75,52.31,4.76,KLM Royal Dutch Airlines,BKK,AMS
192,47.46,8.55,31.14,121.81,Swiss International Air Lines,ZRH,PVG
193,19.44,-99.07,49.01,2.55,Alitalia,MEX,CDG
194,40.64,-73.78,31.72,35.99,US Airways,JFK,AMM
195,47.46,8.55,-23.43,-46.47,Swiss International Air Lines,ZRH,GRU
196,49.19,-123.18,48.35,11.79,Lufthansa,YVR,MUC
197,40.08,116.58,36.69,3.22,Air Algerie,PEK,ALG
198,21.22,105.81,49.01,2.55,Vietnam Airlines,HAN,CDG
199,37.47,126.45,-37.01,174.79,Korean Air,ICN,AKL
200,31.14,121.81,41.8,12.25,China Eastern Airlines,PVG,FCO
201,32.73,-117.19,51.48,-0.46,Iberia Airlines,SAN,LHR
202,40.49,-3.57,-12.02,-77.11,Air Europa,MAD,LIM
203,-22.81,-43.24,50.03,8.54,Lufthansa,GIG,FRA
204,37.47,126.45,45.63,8.73,Korean Air,ICN,MXP
205,13.68,100.75,-37.01,174.79,Turkish Airlines,BKK,AKL
